Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-01-20T22:31:13.918;790698649821545600;-243776;-246506;-304885;-472731;
2025-01-20T22:31:13.936;790698649839727360;-243615;-246319;-304784;-472688;
2025-01-20T22:31:13.954;790698649857909248;-243630;-246239;-304727;-472780;
2025-01-20T22:31:13.972;790698649876091008;-243531;-246212;-304666;-472781;
2025-01-20T22:31:13.990;790698649894272896;-243459;-246165;-304629;-472770;
2025-01-20T22:31:14.008;790698649912454656;-243369;-246084;-304508;-472741;
2025-01-20T22:31:14.027;790698649930636544;-243238;-246003;-304445;-472729;
2025-01-20T22:31:14.045;790698649948818304;-243133;-245904;-304352;-472753;
2025-01-20T22:31:14.063;790698649967000192;-242946;-245819;-304194;-472694;
2025-01-20T22:31:14.081;790698649985181952;-242897;-245687;-304138;-472736;
2025-01-20T22:31:14.099;790698650003363840;-242821;-245768;-304203;-472732;
2025-01-20T22:31:14.118;790698650021545600;-242842;-245850;-304285;-472697;
2025-01-20T22:31:14.136;790698650039727360;-243081;-246121;-304590;-472754;
2025-01-20T22:31:14.154;790698650057909248;-243370;-246611;-304990;-472719;
2025-01-20T22:31:14.172;790698650076091008;-243747;-247025;-305353;-472677;
2025-01-20T22:31:14.190;790698650094272896;-244126;-247456;-305774;-472746;
2025-01-20T22:31:14.208;790698650112454656;-244449;-247792;-306009;-472719;
2025-01-20T22:31:14.227;790698650130636544;-244614;-247985;-306202;-472720;
2025-01-20T22:31:14.245;790698650148818304;-244717;-248101;-306302;-472744;
2025-01-20T22:31:14.263;790698650167000192;-244805;-248202;-306270;-472787;
2025-01-20T22:31:14.281;790698650185181952;-244715;-248160;-306212;-472801;
2025-01-20T22:31:14.299;790698650203363840;-244699;-248118;-306165;-472791;
2025-01-20T22:31:14.318;790698650221545600;-244604;-248013;-306031;-472749;
2025-01-20T22:31:14.336;790698650239727360;-244481;-247932;-305865;-472719;
2025-01-20T22:31:14.354;790698650257909248;-244367;-247795;-305824;-472686;
2025-01-20T22:31:14.372;790698650276091008;-244279;-247712;-305713;-472713;
2025-01-20T22:31:14.390;790698650294272896;-244138;-247543;-305553;-472729;
2025-01-20T22:31:14.408;790698650312454656;-244094;-247424;-305535;-472856;
2025-01-20T22:31:14.427;790698650330636544;-244000;-247319;-305455;-472788;
2025-01-20T22:31:14.445;790698650348818304;-243896;-247353;-305436;-472784;
2025-01-20T22:31:14.463;790698650367000192;-243823;-247244;-305406;-472792;
2025-01-20T22:31:14.481;790698650385181952;-243730;-247179;-305313;-472748;
2025-01-20T22:31:14.499;790698650403363840;-243460;-246973;-305145;-472762;
2025-01-20T22:31:14.518;790698650421545600;-243319;-246890;-304941;-472726;
2025-01-20T22:31:14.536;790698650439727360;-243155;-246656;-304796;-472736;
2025-01-20T22:31:14.554;790698650457909248;-243004;-246460;-304693;-472722;
2025-01-20T22:31:14.572;790698650476091008;-243067;-246613;-304817;-472711;
2025-01-20T22:31:14.590;790698650494272896;-243234;-246867;-305053;-472759;
2025-01-20T22:31:14.608;790698650512454656;-243536;-247234;-305456;-472736;
2025-01-20T22:31:14.627;790698650530636544;-243894;-247677;-305890;-472738;
2025-01-20T22:31:14.645;790698650548818304;-244278;-248071;-306334;-472774;
2025-01-20T22:31:14.663;790698650567000234;-244538;-248379;-306526;-472724;
2025-01-20T22:31:14.681;790698650585189248;-244747;-248604;-306765;-472757;
2025-01-20T22:31:14.699;790698650603378304;-244877;-248795;-306873;-472782;
2025-01-20T22:31:14.718;790698650621567488;-244876;-248725;-306801;-472716;
2025-01-20T22:31:14.736;790698650639756544;-244829;-248768;-306790;-472706;
2025-01-20T22:31:14.754;790698650657945600;-244740;-248660;-306712;-472749;
2025-01-20T22:31:14.772;790698650676134656;-244621;-248540;-306539;-472770;
2025-01-20T22:31:14.790;790698650694323840;-244576;-248456;-306439;-472840;
2025-01-20T22:31:14.808;790698650712512896;-244385;-248260;-306220;-472787;
2025-01-20T22:31:14.827;790698650730701952;-244174;-248126;-306083;-472762;
2025-01-20T22:31:14.845;790698650748891008;-244070;-247912;-305947;-472720;
2025-01-20T22:31:14.863;790698650767080192;-244033;-247809;-305854;-472720;
2025-01-20T22:31:14.881;790698650785269248;-243846;-247608;-305696;-472683;
